data_final...1. Y1998 Y1998.1 Y1998.2 Y1998.3 Y1998.4 Y1998.5 Y1998.6 Y1998.7 Y1998.8 Y1998.9 Y1998.10 Y1998.11 Y1999 Y1999.1 Y1999.2 Y1999.3 Y1999.4 Y1999.5 Y1999.6 Y1999.7 Y1999.8 Y1999.9 Y1999.10 Y1999.11 Y2000 Y2000.1 Y2000.2 Y2000.3 Y2000.4 Y2000.5 Y2000.6 Y2000.7 Y2000.8 Y2000.9 Y2000.10 Y2000.11 Y2001 Y2001.1 Y2001.2 Y2001.3 Y2001.4 Y2001.5 Y2001.6 Y2001.7 Y2001.8 Y2001.9 Y2001.10 Y2001.11 Y2002 Y2002.1 Y2002.2 Y2002.3 Y2002.4 Y2002.5 Y2002.6 Y2002.7 Y2002.8 Y2002.9 Y2002.10 Y2002.11 Y2003 Y2003.1 Y2003.2 Y2003.3 Y2003.4 Y2003.5 Y2003.6 Y2003.7 Y2003.8 Y2003.9 Y2003.10 Y2003.11 Y2004 Y2004.1 Y2004.2 Y2004.3 Y2004.4 Y2004.5 Y2004.6 Y2004.7 Y2004.8 Y2004.9 Y2004.10 Y2004.11 Y2005 Y2005.1 Y2005.2 Y2005.3 Y2005.4 Y2005.5 Y2005.6 Y2005.7 Y2005.8 Y2005.9 Y2005.10 Y2005.11 Y2006 Y2006.1 Y2006.2 Y2006.3 Y2006.4 Y2006.5 Y2006.6 Y2006.7 Y2006.8 Y2006.9 Y2006.10 Y2006.11 Y2007 Y2007.1 Y2007.2 Y2007.3 Y2007.4 Y2007.5 Y2007.6 Y2007.7 Y2007.8 Y2007.9 Y2007.10 Y2007.11 Y2008 Y2008.1 Y2008.2 Y2008.3 Y2008.4 Y2008.5 Y2008.6 Y2008.7 Y2008.8 Y2008.9 Y2008.10 Y2008.11 Y2009 Y2009.1 Y2009.2 Y2009.3 Y2009.4 Y2009.5 Y2009.6 Y2009.7 Y2009.8 Y2009.9 Y2009.10 Y2009.11 Y2010 Y2010.1 Y2010.2 Y2010.3 Y2010.4 Y2010.5 Y2010.6 Y2010.7 Y2010.8 Y2010.9 Y2010.10 Y2010.11 Y2011 Y2011.1 Y2011.2 Y2011.3 Y2011.4 Y2011.5 Y2011.6 Y2011.7 Y2011.8 Y2011.9 Y2011.10 Y2011.11 Y2012 Y2012.1 Y2012.2 Y2012.3 Y2012.4 Y2012.5 Y2012.6 Y2012.7 Y2012.8 Y2012.9 Y2012.10 Y2012.11 Y2013 Y2013.1 Y2013.2 Y2013.3 Y2013.4 Y2013.5 Y2013.6 Y2013.7 Y2013.8 Y2013.9 Y2013.10 Y2013.11 Y2014 Y2014.1 Y2014.2 Y2014.3 Y2014.4 Y2014.5 Y2014.6 Y2014.7 Y2014.8 Y2014.9 Y2014.10 Y2014.11 Y2015 Y2015.1 Y2015.2 Y2015.3 Y2015.4 Y2015.5 Y2015.6 Y2015.7 Y2015.8 Y2015.9 Y2015.10 Y2015.11 Y2016 Y2016.1 Y2016.2 Y2016.3 Y2016.4 Y2016.5 Y2016.6 Y2016.7 Y2016.8 Y2016.9 Y2016.10 Y2016.11 Y2017 Y2017.1 Y2017.2 Y2017.3 Y2017.4 Y2017.5 Y2017.6 Y2017.7 Y2017.8 Y2017.9 Y2017.10 Y2017.11 Y2018 Y2018.1 Y2018.2 Y2018.3 Y2018.4 Y2018.5 Y2018.6 Y2018.7 Y2018.8 Y2018.9 Y2018.10 Y2018.11
sub_11 409.2 450.24 178.56 129.6 178.56 36 0 0 43.2 22.32 180 111.6 275.28 336 96.72 100.8 22.32 14.4 0 7.44 7.2 37.2 129.6 44.64 379.44 389.76 66.96 79.2 96.72 14.4 0 0 36 126.48 72 66.96 148.8 181.44 74.4 144 0 7.2 0 0 14.4 22.32 172.8 305.04 104.16 107.52 193.44 50.4 59.52 0 0 0 0 0 136.8 312.48 37.2 80.64 96.72 288 52.08 0 0 29.76 7.2 0 86.4 334.8 104.16 229.68 37.2 14.4 7.44 0 0 0 7.2 200.88 93.6 238.08 327.36 147.84 282.72 79.2 141.36 50.4 0 0 21.6 22.32 72 453.84 252.96 120.96 372 345.6 44.64 0 0 0 0 22.32 93.6 156.24 52.08 295.68 37.2 86.4 29.76 7.2 0 0 7.2 44.64 43.2 178.56 230.64 111.36 66.96 43.2 22.32 7.2 0 0 7.2 37.2 129.6 119.04 141.36 154.56 126.48 64.8 66.96 14.4 0 7.44 14.4 81.84 64.8 141.36 186 141.12 126.48 136.8 37.2 7.2 0 7.44 7.2 126.48 151.2 275.28 119.04 141.12 238.08 72 52.08 50.4 0 0 7.2 59.52 86.4 81.84 171.12 90.48 186 100.8 14.88 7.2 7.44 0 7.2 44.64 187.2 230.64 111.6 73.92 104.16 64.8 37.2 14.4 7.44 7.44 14.4 29.76 86.4 81.84 119.04 201.6 133.92 86.4 29.76 7.2 7.44 14.88 36 37.2 108 245.52 96.72 154.56 74.4 93.6 37.2 21.6 14.88 0 14.4 44.64 136.8 171.12 267.84 90.48 223.2 115.2 44.64 7.2 0 0 7.2 156.24 115.2 193.44 394.32 329.28 133.92 151.2 29.76 7.2 0 7.44 14.4 22.32 187.2 81.84 200.88 94.08 230.64 108 37.2 7.2 14.88 0 7.2 29.76 151.2 126.48
sub_12 401.76 450.24 163.68 129.6 178.56 28.8 0 0 43.2 29.76 187.2 111.6 260.4 329.28 96.72 93.6 22.32 14.4 0 7.44 0 37.2 129.6 44.64 364.56 389.76 66.96 79.2 89.28 14.4 0 0 28.8 126.48 64.8 66.96 148.8 188.16 74.4 136.8 0 7.2 0 0 14.4 22.32 172.8 305.04 104.16 100.8 186 43.2 59.52 0 0 0 0 0 129.6 319.92 44.64 80.64 96.72 280.8 52.08 0 0 29.76 7.2 0 86.4 327.36 111.6 236.64 37.2 14.4 7.44 0 0 0 7.2 186 93.6 230.64 297.6 141.12 260.4 79.2 133.92 50.4 0 0 21.6 22.32 72 468.72 238.08 120.96 364.56 331.2 44.64 0 0 0 0 14.88 93.6 156.24 44.64 295.68 29.76 86.4 29.76 7.2 0 0 7.2 52.08 36 178.56 238.08 104.4 59.52 36 22.32 7.2 0 0 7.2 44.64 122.4 111.6 126.48 161.28 126.48 57.6 66.96 14.4 0 0 14.4 89.28 57.6 133.92 193.44 134.4 119.04 136.8 37.2 7.2 0 7.44 7.2 119.04 151.2 267.84 104.16 134.4 238.08 64.8 52.08 57.6 0 0 7.2 59.52 86.4 74.4 163.68 83.52 186 108 14.88 7.2 7.44 0 7.2 44.64 187.2 230.64 96.72 60.48 104.16 57.6 29.76 14.4 7.44 7.44 14.4 22.32 79.2 74.4 96.72 201.6 133.92 79.2 22.32 7.2 7.44 14.88 28.8 37.2 108 260.4 74.4 147.84 66.96 93.6 29.76 14.4 7.44 0 7.2 37.2 129.6 171.12 260.4 83.52 238.08 115.2 37.2 7.2 0 0 7.2 163.68 108 186 379.44 329.28 133.92 151.2 22.32 7.2 0 7.44 14.4 22.32 187.2 74.4 208.32 87.36 223.2 108 29.76 7.2 14.88 0 7.2 29.76 151.2 126.48
sub_13 424.08 456.96 171.12 136.8 178.56 36 0 0 50.4 29.76 201.6 119.04 275.28 356.16 96.72 100.8 22.32 14.4 0 7.44 0 44.64 136.8 52.08 386.88 410.64 74.4 79.2 96.72 14.4 0 0 36 126.48 72 74.4 148.8 194.88 81.84 144 0 7.2 0 0 14.4 22.32 180 319.92 111.6 107.52 200.88 50.4 59.52 0 0 0 0 0 144 334.8 52.08 80.64 104.16 295.2 52.08 0 0 29.76 7.2 0 93.6 349.68 111.6 243.6 37.2 14.4 14.88 0 0 0 7.2 193.44 93.6 238.08 312.48 141.12 282.72 79.2 141.36 57.6 0 0 21.6 22.32 79.2 498.48 260.4 134.4 372 345.6 44.64 0 0 0 0 22.32 108 163.68 52.08 309.12 37.2 86.4 29.76 7.2 0 0 14.4 52.08 43.2 186 238.08 111.36 59.52 36 22.32 7.2 0 0 7.2 44.64 129.6 119.04 126.48 161.28 133.92 57.6 81.84 14.4 0 7.44 14.4 96.72 64.8 141.36 208.32 141.12 126.48 136.8 44.64 7.2 0 7.44 7.2 133.92 165.6 282.72 104.16 141.12 252.96 72 59.52 57.6 0 0 7.2 66.96 86.4 81.84 178.56 83.52 200.88 108 14.88 7.2 7.44 0 7.2 44.64 201.6 238.08 104.16 67.2 111.6 64.8 37.2 14.4 7.44 7.44 21.6 29.76 79.2 81.84 111.6 221.76 141.36 86.4 29.76 7.2 7.44 14.88 36 37.2 122.4 252.96 81.84 147.84 74.4 100.8 29.76 21.6 7.44 0 14.4 44.64 136.8 186 275.28 90.48 245.52 115.2 44.64 7.2 0 0 7.2 178.56 115.2 208.32 409.2 362.88 133.92 165.6 29.76 7.2 0 7.44 14.4 22.32 208.8 74.4 215.76 94.08 238.08 108 37.2 7.2 14.88 0 7.2 29.76 158.4 126.48
sub_14 424.08 490.56 178.56 115.2 208.32 50.4 0 0 7.2 52.08 266.4 96.72 141.36 282.24 119.04 64.8 7.44 21.6 0 7.44 0 52.08 151.2 52.08 260.4 334.08 104.16 93.6 37.2 21.6 7.44 0 43.2 119.04 57.6 66.96 163.68 201.6 89.28 79.2 0 21.6 0 0 21.6 44.64 230.4 305.04 148.8 80.64 89.28 50.4 37.2 0 0 0 0 0 122.4 491.04 178.56 73.92 141.36 223.2 52.08 0 0 22.32 0 0 129.6 342.24 126.48 327.12 44.64 43.2 29.76 7.2 0 0 7.2 133.92 57.6 238.08 178.56 107.52 163.68 93.6 186 50.4 0 0 0 22.32 158.4 498.48 238.08 161.28 297.6 252 44.64 7.2 0 0 0 0 122.4 200.88 22.32 241.92 22.32 72 22.32 7.2 22.32 0 14.4 89.28 28.8 163.68 282.72 97.44 37.2 28.8 14.88 0 0 7.44 0 66.96 86.4 96.72 59.52 215.04 96.72 28.8 59.52 57.6 0 7.44 7.2 74.4 64.8 126.48 238.08 154.56 81.84 129.6 29.76 7.2 0 7.44 7.2 119.04 108 230.64 74.4 107.52 208.32 36 81.84 36 0 0 7.2 74.4 93.6 29.76 178.56 69.6 186 79.2 7.44 14.4 0 7.44 0 37.2 180 275.28 44.64 33.6 111.6 43.2 22.32 21.6 0 0 28.8 14.88 43.2 37.2 22.32 215.04 156.24 36 14.88 0 0 7.44 50.4 59.52 100.8 275.28 22.32 120.96 44.64 50.4 14.88 7.2 7.44 7.44 7.2 22.32 72 171.12 267.84 48.72 260.4 72 14.88 28.8 0 0 0 193.44 122.4 171.12 275.28 235.2 126.48 129.6 7.44 14.4 0 0 7.2 22.32 165.6 37.2 141.36 40.32 133.92 115.2 29.76 7.2 0 0 0 22.32 144 126.48
sub_15 223.2 208.32 111.6 64.8 163.68 72 14.88 0 28.8 29.76 208.8 59.52 89.28 161.28 66.96 36 14.88 21.6 7.44 22.32 0 44.64 86.4 29.76 171.12 160.08 59.52 64.8 29.76 14.4 14.88 0 36 74.4 36 37.2 52.08 87.36 52.08 57.6 7.44 21.6 7.44 0 21.6 22.32 129.6 141.36 66.96 53.76 52.08 57.6 22.32 7.2 0 0 0 0 79.2 230.64 89.28 40.32 104.16 129.6 44.64 7.2 7.44 22.32 7.2 0 79.2 178.56 66.96 180.96 29.76 36 52.08 7.2 7.44 7.44 7.2 104.16 50.4 111.6 81.84 53.76 89.28 79.2 141.36 36 0 0 7.2 29.76 129.6 260.4 133.92 100.8 148.8 129.6 29.76 14.4 0 7.44 0 14.88 86.4 96.72 22.32 134.4 29.76 50.4 14.88 14.4 14.88 0 21.6 74.4 28.8 81.84 126.48 55.68 37.2 28.8 44.64 14.4 7.44 14.88 14.4 52.08 72 59.52 52.08 114.24 89.28 43.2 66.96 57.6 7.44 14.88 7.2 66.96 57.6 66.96 126.48 80.64 59.52 93.6 52.08 21.6 7.44 7.44 14.4 74.4 64.8 148.8 37.2 67.2 148.8 43.2 59.52 36 14.88 7.44 14.4 52.08 57.6 22.32 81.84 41.76 104.16 64.8 22.32 28.8 7.44 7.44 7.2 37.2 115.2 163.68 29.76 20.16 52.08 43.2 37.2 28.8 0 7.44 21.6 14.88 28.8 22.32 14.88 134.4 96.72 28.8 14.88 7.2 7.44 7.44 36 59.52 64.8 156.24 22.32 94.08 44.64 36 29.76 14.4 22.32 7.44 7.2 22.32 43.2 148.8 178.56 41.76 156.24 57.6 44.64 36 7.44 0 0 141.36 72 111.6 215.76 168 96.72 86.4 29.76 21.6 7.44 7.44 14.4 22.32 86.4 22.32 81.84 26.88 81.84 79.2 44.64 14.4 7.44 7.44 14.4 29.76 86.4 74.4
sub_16 431.52 430.08 186 115.2 230.64 72 7.44 7.44 14.4 59.52 309.6 111.6 148.8 309.12 133.92 64.8 7.44 21.6 0 14.88 0 66.96 165.6 59.52 290.16 306.24 104.16 100.8 37.2 21.6 7.44 7.44 57.6 126.48 64.8 74.4 126.48 174.72 81.84 93.6 0 28.8 0 0 28.8 52.08 223.2 275.28 141.36 87.36 89.28 79.2 29.76 0 0 0 0 0 144 505.92 186 73.92 186 244.8 59.52 0 0 22.32 7.2 0 122.4 342.24 126.48 341.04 52.08 50.4 59.52 7.2 0 0 14.4 141.36 50.4 200.88 163.68 100.8 163.68 115.2 208.32 50.4 0 0 7.2 29.76 187.2 491.04 260.4 188.16 305.04 252 37.2 7.2 0 0 0 7.44 144 200.88 29.76 262.08 44.64 72 29.76 7.2 29.76 0 28.8 111.6 50.4 148.8 275.28 97.44 52.08 43.2 29.76 14.4 0 14.88 0 74.4 108 96.72 66.96 215.04 126.48 43.2 66.96 72 0 7.44 7.2 89.28 86.4 119.04 245.52 154.56 89.28 136.8 52.08 14.4 0 7.44 14.4 126.48 115.2 238.08 52.08 107.52 223.2 43.2 96.72 36 7.44 7.44 7.2 81.84 108 37.2 163.68 69.6 186 86.4 14.88 28.8 0 7.44 7.2 59.52 194.4 275.28 37.2 40.32 104.16 57.6 29.76 28.8 0 7.44 28.8 44.64 57.6 44.64 14.88 215.04 163.68 36 14.88 7.2 7.44 7.44 64.8 96.72 100.8 275.28 14.88 134.4 52.08 57.6 22.32 14.4 7.44 7.44 14.4 37.2 72 215.76 305.04 55.68 260.4 79.2 29.76 50.4 0 7.44 7.2 238.08 144 171.12 290.16 241.92 141.36 144 22.32 14.4 0 7.44 14.4 29.76 151.2 44.64 148.8 53.76 126.48 122.4 37.2 7.2 0 7.44 7.2 29.76 151.2 141.36
sub_17 476.16 564.48 223.2 100.8 186 43.2 0 0 0 52.08 295.2 96.72 141.36 302.4 133.92 64.8 0 14.4 0 7.44 0 44.64 165.6 52.08 260.4 354.96 96.72 108 37.2 21.6 7.44 0 43.2 111.6 50.4 74.4 186 221.76 89.28 72 0 28.8 0 0 14.4 37.2 288 342.24 171.12 100.8 66.96 43.2 37.2 0 0 0 0 0 115.2 565.44 193.44 73.92 126.48 223.2 29.76 0 0 22.32 0 0 172.8 364.56 148.8 348 52.08 50.4 14.88 7.2 0 0 0 126.48 72 312.48 186 114.24 171.12 93.6 178.56 50.4 0 0 0 22.32 172.8 491.04 260.4 141.12 282.72 216 59.52 14.4 0 0 0 0 136.8 223.2 29.76 228.48 14.88 72 22.32 0 22.32 0 7.2 96.72 28.8 171.12 305.04 111.36 52.08 36 14.88 0 0 7.44 0 59.52 100.8 111.6 81.84 201.6 96.72 28.8 66.96 43.2 0 7.44 7.2 81.84 72 126.48 252.96 181.44 96.72 151.2 44.64 7.2 0 7.44 14.4 133.92 115.2 215.76 96.72 120.96 215.76 64.8 59.52 36 0 0 7.2 89.28 115.2 44.64 178.56 76.56 178.56 86.4 7.44 21.6 0 7.44 0 52.08 187.2 282.72 89.28 67.2 119.04 50.4 14.88 21.6 0 7.44 28.8 14.88 64.8 44.64 52.08 208.32 156.24 28.8 7.44 0 0 7.44 64.8 66.96 108 290.16 52.08 141.12 59.52 50.4 7.44 7.2 7.44 7.44 7.2 14.88 86.4 208.32 290.16 76.56 245.52 72 22.32 36 0 0 0 208.32 151.2 178.56 282.72 235.2 156.24 129.6 7.44 7.2 0 7.44 7.2 22.32 151.2 44.64 171.12 47.04 126.48 122.4 22.32 0 0 0 0 29.76 158.4 141.36
sub_18 446.4 443.52 178.56 129.6 238.08 72 7.44 7.44 14.4 59.52 302.4 119.04 156.24 322.56 141.36 72 14.88 28.8 0 7.44 0 66.96 165.6 66.96 297.6 320.16 111.6 100.8 44.64 21.6 7.44 0 57.6 133.92 72 74.4 133.92 181.44 89.28 108 0 28.8 0 0 21.6 52.08 223.2 290.16 148.8 87.36 104.16 86.4 29.76 0 0 0 0 0 151.2 513.36 193.44 73.92 193.44 259.2 66.96 0 0 29.76 0 0 122.4 357.12 133.92 348 52.08 57.6 59.52 7.2 0 0 14.4 148.8 50.4 200.88 171.12 107.52 171.12 122.4 215.76 57.6 0 0 7.2 29.76 180 520.8 260.4 194.88 327.36 280.8 37.2 7.2 0 0 0 7.44 144 208.32 29.76 275.52 44.64 86.4 29.76 7.2 22.32 0 28.8 104.16 43.2 156.24 282.72 104.4 59.52 79.2 37.2 7.2 0 7.44 0 74.4 136.8 111.6 81.84 221.76 141.36 79.2 74.4 64.8 0 7.44 7.2 89.28 86.4 126.48 260.4 168 104.16 158.4 66.96 14.4 0 7.44 14.4 133.92 129.6 252.96 66.96 120.96 230.64 64.8 111.6 43.2 0 7.44 7.2 89.28 115.2 44.64 178.56 69.6 200.88 100.8 22.32 21.6 0 7.44 7.2 59.52 216 282.72 37.2 40.32 119.04 64.8 29.76 28.8 0 7.44 28.8 29.76 57.6 44.64 14.88 228.48 186 50.4 14.88 7.2 7.44 7.44 57.6 74.4 115.2 297.6 22.32 141.12 59.52 57.6 22.32 14.4 7.44 7.44 14.4 37.2 79.2 223.2 312.48 55.68 282.72 93.6 29.76 43.2 0 7.44 7.2 215.76 129.6 178.56 297.6 262.08 148.8 158.4 22.32 14.4 0 7.44 14.4 29.76 180 52.08 156.24 60.48 141.36 136.8 37.2 7.2 0 7.44 7.2 37.2 158.4 141.36
sub_19 446.4 490.56 193.44 115.2 223.2 64.8 0 0 7.2 52.08 288 104.16 141.36 295.68 126.48 64.8 7.44 21.6 0 7.44 0 59.52 158.4 59.52 275.28 341.04 104.16 100.8 37.2 21.6 7.44 0 57.6 126.48 57.6 66.96 156.24 201.6 81.84 93.6 0 28.8 0 0 21.6 44.64 237.6 305.04 148.8 87.36 81.84 64.8 29.76 0 0 0 0 0 129.6 513.36 186 67.2 156.24 230.4 52.08 0 0 22.32 0 0 136.8 349.68 126.48 341.04 44.64 50.4 44.64 7.2 0 0 7.2 133.92 57.6 238.08 171.12 107.52 163.68 100.8 200.88 50.4 0 0 0 22.32 172.8 491.04 252.96 168 297.6 259.2 52.08 7.2 0 0 0 7.44 129.6 200.88 29.76 248.64 29.76 72 22.32 7.2 22.32 0 14.4 96.72 36 156.24 282.72 97.44 44.64 36 22.32 7.2 0 7.44 0 66.96 100.8 104.16 66.96 215.04 104.16 28.8 59.52 72 0 7.44 7.2 74.4 79.2 126.48 238.08 161.28 81.84 129.6 37.2 7.2 0 7.44 14.4 126.48 122.4 230.64 66.96 107.52 215.76 36 81.84 36 0 7.44 7.2 74.4 108 37.2 163.68 69.6 178.56 79.2 14.88 28.8 0 7.44 0 52.08 180 267.84 44.64 40.32 119.04 50.4 29.76 28.8 0 7.44 28.8 22.32 50.4 44.64 29.76 208.32 156.24 36 14.88 0 0 7.44 64.8 66.96 100.8 290.16 22.32 120.96 52.08 50.4 14.88 14.4 7.44 7.44 7.2 29.76 72 200.88 290.16 55.68 260.4 79.2 22.32 43.2 0 0 0 215.76 136.8 171.12 275.28 235.2 141.36 136.8 14.88 14.4 0 7.44 14.4 22.32 165.6 44.64 148.8 47.04 126.48 122.4 29.76 7.2 0 0 0 29.76 151.2 141.36
sub_20 126.48 262.08 104.16 86.4 74.4 72 7.44 7.44 28.8 14.88 43.2 44.64 133.92 80.64 37.2 57.6 14.88 7.2 7.44 7.44 7.2 7.44 36 22.32 141.36 187.92 52.08 64.8 37.2 14.4 0 7.44 7.2 59.52 14.4 22.32 104.16 127.68 66.96 100.8 7.44 0 22.32 0 7.2 14.88 100.8 141.36 52.08 26.88 66.96 36 29.76 7.2 0 0 0 0 144 133.92 14.88 80.64 66.96 86.4 59.52 0 22.32 14.88 7.2 0 50.4 119.04 52.08 125.28 29.76 21.6 14.88 0 7.44 7.44 0 111.6 64.8 111.6 200.88 94.08 119.04 50.4 104.16 7.2 7.44 7.44 14.4 14.88 14.4 163.68 171.12 73.92 156.24 180 37.2 7.2 14.88 0 0 22.32 14.4 74.4 29.76 100.8 37.2 50.4 7.44 0 7.44 7.44 14.4 14.88 7.2 89.28 193.44 132.24 74.4 72 81.84 14.4 14.88 7.44 7.2 14.88 93.6 74.4 89.28 100.8 89.28 86.4 59.52 28.8 7.44 7.44 7.2 66.96 36 111.6 104.16 114.24 74.4 93.6 66.96 14.4 7.44 0 7.2 44.64 64.8 245.52 74.4 87.36 111.6 64.8 66.96 72 7.44 7.44 7.2 52.08 50.4 37.2 104.16 55.68 74.4 79.2 22.32 7.2 7.44 7.44 7.2 14.88 36 104.16 52.08 53.76 74.4 36 37.2 7.2 7.44 7.44 7.2 14.88 50.4 52.08 52.08 94.08 59.52 64.8 37.2 7.2 7.44 7.44 7.2 14.88 36 96.72 52.08 94.08 81.84 50.4 52.08 7.2 7.44 0 7.2 29.76 50.4 66.96 119.04 69.6 89.28 108 44.64 14.4 7.44 7.44 7.2 29.76 50.4 81.84 193.44 100.8 81.84 93.6 29.76 7.2 7.44 7.44 7.2 7.44 50.4 37.2 66.96 53.76 111.6 72 29.76 7.2 14.88 0 7.2 14.88 64.8 52.08
sub_21 438.96 463.68 178.56 122.4 223.2 64.8 7.44 0 14.4 52.08 288 111.6 148.8 302.4 133.92 72 7.44 21.6 0 7.44 0 59.52 158.4 59.52 282.72 327.12 111.6 93.6 44.64 21.6 7.44 0 50.4 126.48 64.8 66.96 148.8 188.16 89.28 93.6 0 21.6 0 0 21.6 52.08 223.2 297.6 148.8 80.64 96.72 72 29.76 0 0 0 0 0 136.8 505.92 186 73.92 171.12 244.8 59.52 0 0 22.32 0 0 122.4 357.12 133.92 334.08 52.08 50.4 44.64 7.2 0 0 7.2 148.8 57.6 215.76 178.56 107.52 171.12 108 200.88 57.6 0 0 7.2 29.76 165.6 520.8 252.96 181.44 319.92 266.4 37.2 7.2 0 0 0 7.44 136.8 200.88 29.76 268.8 37.2 79.2 29.76 7.2 22.32 0 21.6 96.72 36 156.24 282.72 97.44 52.08 50.4 29.76 7.2 0 7.44 0 74.4 115.2 104.16 74.4 221.76 126.48 50.4 66.96 57.6 0 7.44 7.2 81.84 79.2 126.48 252.96 161.28 96.72 136.8 52.08 7.2 0 7.44 7.2 126.48 122.4 245.52 66.96 114.24 223.2 50.4 89.28 43.2 0 7.44 7.2 81.84 100.8 37.2 178.56 69.6 193.44 93.6 14.88 21.6 0 7.44 0 44.64 201.6 282.72 37.2 40.32 119.04 57.6 22.32 28.8 0 7.44 28.8 22.32 50.4 44.64 22.32 221.76 171.12 43.2 14.88 7.2 0 7.44 57.6 66.96 108 290.16 14.88 127.68 52.08 57.6 14.88 14.4 7.44 7.44 7.2 29.76 72 200.88 290.16 48.72 275.28 79.2 22.32 36 0 0 7.2 200.88 129.6 178.56 297.6 255.36 133.92 144 14.88 14.4 0 7.44 14.4 22.32 172.8 44.64 148.8 53.76 141.36 122.4 29.76 7.2 0 0 7.2 29.76 151.2 133.92
sub_22 386.88 530.88 178.56 86.4 156.24 36 0 0 0 52.08 216 81.84 104.16 248.64 126.48 57.6 0 14.4 0 7.44 0 29.76 144 44.64 215.76 278.4 81.84 86.4 44.64 21.6 0 0 21.6 96.72 50.4 59.52 171.12 188.16 96.72 50.4 0 21.6 0 0 14.4 37.2 252 290.16 148.8 73.92 52.08 28.8 29.76 0 0 0 0 0 108 468.72 163.68 73.92 111.6 187.2 37.2 0 0 14.88 0 0 151.2 342.24 133.92 292.32 52.08 36 14.88 7.2 0 0 0 111.6 72 282.72 186 114.24 156.24 79.2 141.36 43.2 0 0 0 22.32 151.2 453.84 215.76 127.68 260.4 187.2 44.64 14.4 0 0 0 7.44 115.2 193.44 22.32 201.6 14.88 64.8 14.88 0 14.88 0 7.2 74.4 14.4 178.56 312.48 97.44 59.52 36 7.44 0 0 0 0 44.64 86.4 89.28 66.96 194.88 96.72 28.8 44.64 43.2 0 0 7.2 81.84 64.8 111.6 260.4 168 96.72 151.2 44.64 0 0 0 7.2 119.04 100.8 200.88 89.28 114.24 215.76 57.6 52.08 28.8 0 0 0 66.96 100.8 22.32 186 69.6 171.12 79.2 7.44 7.2 0 0 0 37.2 172.8 275.28 66.96 47.04 96.72 36 7.44 14.4 0 0 21.6 7.44 50.4 29.76 29.76 194.88 141.36 21.6 7.44 0 0 7.44 50.4 37.2 93.6 260.4 37.2 114.24 37.2 43.2 7.44 0 7.44 0 7.2 7.44 72 178.56 260.4 55.68 223.2 57.6 14.88 21.6 0 0 0 178.56 122.4 171.12 290.16 235.2 126.48 122.4 7.44 7.2 0 0 7.2 14.88 129.6 22.32 156.24 26.88 133.92 115.2 22.32 0 0 0 0 22.32 144 126.48
sub_23 126.48 201.6 119.04 72 66.96 50.4 0 0 14.4 14.88 36 29.76 111.6 47.04 29.76 50.4 0 7.2 0 0 0 0 28.8 0 126.48 180.96 44.64 43.2 14.88 14.4 0 0 7.2 66.96 7.2 7.44 89.28 87.36 29.76 72 0 0 7.44 0 0 14.88 79.2 119.04 37.2 13.44 52.08 14.4 14.88 7.2 0 0 0 0 79.2 89.28 7.44 53.76 37.2 86.4 37.2 0 0 0 0 0 28.8 104.16 37.2 97.44 29.76 7.2 7.44 0 0 0 0 89.28 28.8 81.84 133.92 73.92 104.16 28.8 74.4 0 0 0 0 7.44 7.2 104.16 141.36 40.32 148.8 180 14.88 0 0 0 0 7.44 7.2 52.08 14.88 80.64 29.76 21.6 0 0 0 0 7.2 14.88 0 74.4 126.48 83.52 22.32 14.4 14.88 0 0 0 0 7.44 50.4 59.52 44.64 80.64 29.76 28.8 22.32 7.2 0 0 0 37.2 21.6 81.84 96.72 94.08 37.2 72 14.88 0 0 0 0 29.76 43.2 200.88 66.96 60.48 111.6 21.6 14.88 21.6 0 0 0 22.32 43.2 22.32 66.96 27.84 66.96 64.8 7.44 0 0 0 0 7.44 36 74.4 37.2 40.32 44.64 14.4 7.44 0 0 0 0 7.44 28.8 29.76 29.76 67.2 37.2 28.8 7.44 0 0 0 7.2 14.88 28.8 74.4 29.76 47.04 22.32 36 14.88 0 7.44 0 0 29.76 43.2 66.96 111.6 27.84 66.96 36 14.88 7.2 0 0 0 22.32 36 81.84 148.8 94.08 37.2 64.8 7.44 0 0 0 7.2 7.44 21.6 22.32 52.08 26.88 96.72 21.6 7.44 0 0 0 0 7.44 57.6 37.2
