Region Y1998 Y1998.1 Y1998.2 Y1998.3 Y1998.4 Y1998.5 Y1998.6 Y1998.7 Y1998.8 Y1998.9 Y1998.10 Y1998.11 Y1999 Y1999.1 Y1999.2 Y1999.3 Y1999.4 Y1999.5 Y1999.6 Y1999.7 Y1999.8 Y1999.9 Y1999.10 Y1999.11 Y2000 Y2000.1 Y2000.2 Y2000.3 Y2000.4 Y2000.5 Y2000.6 Y2000.7 Y2000.8 Y2000.9 Y2000.10 Y2000.11 Y2001 Y2001.1 Y2001.2 Y2001.3 Y2001.4 Y2001.5 Y2001.6 Y2001.7 Y2001.8 Y2001.9 Y2001.10 Y2001.11 Y2002 Y2002.1 Y2002.2 Y2002.3 Y2002.4 Y2002.5 Y2002.6 Y2002.7 Y2002.8 Y2002.9 Y2002.10 Y2002.11 Y2003 Y2003.1 Y2003.2 Y2003.3 Y2003.4 Y2003.5 Y2003.6 Y2003.7 Y2003.8 Y2003.9 Y2003.10 Y2003.11 Y2004 Y2004.1 Y2004.2 Y2004.3 Y2004.4 Y2004.5 Y2004.6 Y2004.7 Y2004.8 Y2004.9 Y2004.10 Y2004.11 Y2005 Y2005.1 Y2005.2 Y2005.3 Y2005.4 Y2005.5 Y2005.6 Y2005.7 Y2005.8 Y2005.9 Y2005.10 Y2005.11 Y2006 Y2006.1 Y2006.2 Y2006.3 Y2006.4 Y2006.5 Y2006.6 Y2006.7 Y2006.8 Y2006.9 Y2006.10 Y2006.11 Y2007 Y2007.1 Y2007.2 Y2007.3 Y2007.4 Y2007.5 Y2007.6 Y2007.7 Y2007.8 Y2007.9 Y2007.10 Y2007.11 Y2008 Y2008.1 Y2008.2 Y2008.3 Y2008.4 Y2008.5 Y2008.6 Y2008.7 Y2008.8 Y2008.9 Y2008.10 Y2008.11 Y2009 Y2009.1 Y2009.2 Y2009.3 Y2009.4 Y2009.5 Y2009.6 Y2009.7 Y2009.8 Y2009.9 Y2009.10 Y2009.11 Y2010 Y2010.1 Y2010.2 Y2010.3 Y2010.4 Y2010.5 Y2010.6 Y2010.7 Y2010.8 Y2010.9 Y2010.10 Y2010.11 Y2011 Y2011.1 Y2011.2 Y2011.3 Y2011.4 Y2011.5 Y2011.6 Y2011.7 Y2011.8 Y2011.9 Y2011.10 Y2011.11 Y2012 Y2012.1 Y2012.2 Y2012.3 Y2012.4 Y2012.5 Y2012.6 Y2012.7 Y2012.8 Y2012.9 Y2012.10 Y2012.11 Y2013 Y2013.1 Y2013.2 Y2013.3 Y2013.4 Y2013.5 Y2013.6 Y2013.7 Y2013.8 Y2013.9 Y2013.10 Y2013.11 Y2014 Y2014.1 Y2014.2 Y2014.3 Y2014.4 Y2014.5 Y2014.6 Y2014.7 Y2014.8 Y2014.9 Y2014.10 Y2014.11 Y2015 Y2015.1 Y2015.2 Y2015.3 Y2015.4 Y2015.5 Y2015.6 Y2015.7 Y2015.8 Y2015.9 Y2015.10 Y2015.11 Y2016 Y2016.1 Y2016.2 Y2016.3 Y2016.4 Y2016.5 Y2016.6 Y2016.7 Y2016.8 Y2016.9 Y2016.10 Y2016.11 Y2017 Y2017.1 Y2017.2 Y2017.3 Y2017.4 Y2017.5 Y2017.6 Y2017.7 Y2017.8 Y2017.9 Y2017.10 Y2017.11 Y2018 Y2018.1 Y2018.2 Y2018.3 Y2018.4 Y2018.5 Y2018.6 Y2018.7 Y2018.8 Y2018.9 Y2018.10 Y2018.11
sub_11 186 262.08 96.72 57.6 89.28 14.4 0 0 7.2 22.32 72 37.2 111.6 120.96 37.2 43.2 7.44 0 0 0 0 7.44 50.4 7.44 163.68 201.84 29.76 43.2 29.76 7.2 0 0 7.2 89.28 14.4 14.88 104.16 87.36 52.08 50.4 0 0 0 0 7.2 7.44 79.2 156.24 52.08 33.6 66.96 7.2 22.32 0 0 0 0 0 79.2 171.12 22.32 33.6 44.64 93.6 22.32 0 0 14.88 0 0 43.2 141.36 52.08 118.32 22.32 0 7.44 0 0 0 0 104.16 43.2 126.48 141.36 94.08 111.6 36 44.64 7.2 0 0 7.2 7.44 14.4 178.56 111.6 40.32 156.24 129.6 29.76 0 0 0 0 7.44 36 74.4 22.32 114.24 14.88 36 7.44 0 0 0 7.2 29.76 7.2 81.84 156.24 62.64 14.88 7.2 7.44 0 0 0 0 14.88 57.6 59.52 74.4 100.8 52.08 21.6 14.88 7.2 0 0 7.2 59.52 28.8 74.4 119.04 87.36 52.08 86.4 22.32 0 0 0 0 29.76 72 119.04 59.52 73.92 119.04 14.4 22.32 36 0 0 0 22.32 43.2 22.32 52.08 34.8 81.84 57.6 7.44 0 0 0 0 7.44 86.4 126.48 37.2 26.88 37.2 21.6 7.44 0 0 0 7.2 7.44 36 22.32 22.32 80.64 52.08 28.8 7.44 0 0 0 7.2 14.88 64.8 156.24 14.88 67.2 22.32 28.8 7.44 0 0 0 0 14.88 72 74.4 156.24 27.84 119.04 72 7.44 0 0 0 0 74.4 50.4 81.84 193.44 141.12 59.52 64.8 7.44 0 0 0 0 7.44 50.4 22.32 89.28 33.6 89.28 43.2 7.44 0 0 0 0 7.44 72 66.96
sub_12 186 241.92 111.6 57.6 81.84 14.4 0 0 7.2 14.88 64.8 29.76 104.16 100.8 37.2 36 7.44 0 0 0 0 0 43.2 0 148.8 194.88 29.76 50.4 29.76 7.2 0 0 7.2 96.72 7.2 7.44 104.16 73.92 52.08 50.4 0 0 0 0 0 7.44 79.2 141.36 44.64 26.88 52.08 7.2 22.32 0 0 0 0 0 79.2 148.8 22.32 26.88 37.2 79.2 22.32 0 0 14.88 0 0 28.8 133.92 44.64 111.36 22.32 0 7.44 0 0 0 0 111.6 43.2 119.04 148.8 94.08 111.6 28.8 52.08 7.2 0 0 7.2 7.44 7.2 156.24 104.16 33.6 148.8 122.4 29.76 0 0 0 0 7.44 28.8 74.4 22.32 94.08 14.88 28.8 7.44 0 0 0 7.2 29.76 7.2 81.84 156.24 62.64 14.88 7.2 7.44 0 0 0 0 14.88 57.6 59.52 81.84 94.08 37.2 21.6 14.88 7.2 0 0 7.2 52.08 28.8 74.4 111.6 94.08 52.08 86.4 14.88 0 0 0 0 29.76 64.8 119.04 66.96 73.92 119.04 14.4 22.32 28.8 0 0 0 29.76 43.2 22.32 52.08 34.8 74.4 57.6 7.44 0 0 0 0 7.44 79.2 104.16 44.64 26.88 37.2 21.6 7.44 0 0 0 0 7.44 36 29.76 29.76 80.64 59.52 28.8 7.44 0 0 0 7.2 14.88 50.4 141.36 22.32 60.48 29.76 28.8 14.88 0 0 0 0 14.88 72 74.4 156.24 27.84 119.04 86.4 7.44 0 0 0 0 59.52 50.4 81.84 186 120.96 52.08 57.6 7.44 0 0 0 0 7.44 50.4 22.32 74.4 33.6 89.28 43.2 7.44 0 0 0 0 7.44 64.8 66.96
sub_13 141.36 215.04 111.6 50.4 74.4 21.6 0 0 7.2 14.88 50.4 29.76 89.28 67.2 22.32 36 0 0 0 0 0 0 28.8 0 119.04 160.08 29.76 43.2 14.88 7.2 0 0 7.2 74.4 7.2 7.44 96.72 73.92 52.08 43.2 0 0 0 0 0 7.44 72 111.6 37.2 20.16 44.64 7.2 14.88 0 0 0 0 0 72 119.04 14.88 33.6 29.76 72 29.76 0 0 7.44 0 0 21.6 111.6 37.2 97.44 14.88 0 7.44 0 0 0 0 104.16 28.8 111.6 141.36 87.36 96.72 28.8 52.08 0 0 0 7.2 7.44 7.2 119.04 104.16 26.88 126.48 108 29.76 0 0 0 0 7.44 14.4 59.52 14.88 73.92 7.44 21.6 7.44 0 0 0 7.2 22.32 0 66.96 141.36 55.68 14.88 7.2 7.44 0 0 0 0 7.44 50.4 59.52 59.52 73.92 37.2 21.6 14.88 7.2 0 0 7.2 44.64 21.6 74.4 96.72 94.08 37.2 79.2 14.88 0 0 0 0 22.32 50.4 141.36 66.96 67.2 104.16 14.4 14.88 28.8 0 0 0 22.32 43.2 22.32 52.08 27.84 74.4 50.4 0 0 0 0 0 7.44 57.6 89.28 37.2 26.88 37.2 14.4 7.44 0 0 0 0 7.44 28.8 22.32 22.32 67.2 37.2 21.6 0 0 0 0 0 14.88 36 111.6 14.88 40.32 22.32 21.6 14.88 0 0 0 0 14.88 57.6 59.52 133.92 20.88 89.28 57.6 7.44 0 0 0 0 37.2 50.4 74.4 163.68 107.52 44.64 50.4 7.44 0 0 0 0 7.44 28.8 22.32 59.52 20.16 89.28 28.8 7.44 0 0 0 0 7.44 57.6 52.08
sub_14 66.96 168 89.28 28.8 59.52 21.6 0 0 0 7.44 28.8 14.88 52.08 20.16 22.32 28.8 0 0 0 0 0 0 14.4 7.44 59.52 76.56 22.32 28.8 7.44 7.2 0 0 0 44.64 7.2 7.44 74.4 67.2 52.08 21.6 0 0 0 0 0 7.44 43.2 59.52 14.88 6.72 22.32 7.2 7.44 0 0 0 0 0 43.2 89.28 7.44 40.32 22.32 36 29.76 0 0 0 0 0 7.2 66.96 22.32 83.52 0 0 0 0 0 0 0 74.4 14.4 96.72 81.84 94.08 44.64 28.8 37.2 0 0 0 0 0 0 52.08 89.28 20.16 89.28 43.2 29.76 0 0 0 0 7.44 7.2 29.76 14.88 33.6 0 14.4 0 0 0 0 7.2 14.88 0 37.2 96.72 34.8 7.44 0 7.44 0 0 0 0 7.44 28.8 44.64 37.2 53.76 14.88 7.2 7.44 0 0 0 0 29.76 14.4 59.52 74.4 80.64 22.32 64.8 7.44 0 0 0 0 14.88 28.8 96.72 44.64 47.04 96.72 7.2 14.88 21.6 0 0 0 14.88 36 7.44 29.76 13.92 52.08 43.2 0 0 0 0 0 0 36 59.52 14.88 13.44 14.88 7.2 0 0 0 0 0 0 14.4 7.44 7.44 47.04 22.32 7.2 0 0 0 0 0 7.44 21.6 89.28 7.44 20.16 7.44 14.4 7.44 0 7.44 0 0 14.88 43.2 44.64 111.6 6.96 52.08 28.8 7.44 0 0 0 0 22.32 36 59.52 141.36 94.08 22.32 36 7.44 0 0 0 0 0 7.2 7.44 37.2 6.72 81.84 7.2 0 0 0 0 0 7.44 36 29.76
sub_15 74.4 161.28 96.72 43.2 59.52 28.8 0 0 7.2 7.44 28.8 14.88 81.84 20.16 22.32 28.8 0 0 0 0 0 0 14.4 0 59.52 97.44 29.76 28.8 7.44 7.2 0 0 0 44.64 0 0 66.96 67.2 29.76 36 0 0 0 0 0 7.44 43.2 59.52 22.32 6.72 22.32 14.4 7.44 0 0 0 0 0 43.2 66.96 7.44 40.32 22.32 43.2 22.32 0 0 0 0 0 14.4 59.52 22.32 69.6 7.44 0 0 0 0 0 0 59.52 14.4 66.96 81.84 60.48 59.52 21.6 44.64 0 0 0 0 7.44 0 44.64 89.28 13.44 89.28 93.6 14.88 0 0 0 0 7.44 0 29.76 14.88 40.32 14.88 14.4 0 0 0 0 7.2 14.88 0 44.64 81.84 34.8 7.44 7.2 7.44 0 0 0 0 7.44 28.8 37.2 14.88 53.76 7.44 7.2 7.44 0 0 0 0 22.32 14.4 52.08 66.96 60.48 14.88 50.4 7.44 0 0 0 0 14.88 21.6 133.92 37.2 40.32 81.84 7.2 7.44 14.4 0 0 0 14.88 28.8 7.44 29.76 13.92 52.08 50.4 0 0 0 0 0 0 14.4 44.64 14.88 13.44 22.32 0 0 0 0 0 0 0 14.4 7.44 7.44 40.32 14.88 14.4 0 0 0 0 0 7.44 14.4 59.52 7.44 20.16 7.44 14.4 7.44 0 7.44 0 0 22.32 28.8 37.2 74.4 6.96 44.64 28.8 7.44 0 0 0 0 14.88 28.8 59.52 111.6 87.36 14.88 28.8 7.44 0 0 0 0 0 7.2 7.44 37.2 6.72 74.4 7.2 0 0 0 0 0 0 28.8 14.88
sub_16 126.48 194.88 111.6 64.8 66.96 43.2 0 0 14.4 7.44 36 22.32 104.16 47.04 22.32 43.2 0 7.2 0 0 0 0 28.8 0 111.6 167.04 37.2 43.2 14.88 14.4 0 0 7.2 66.96 7.2 0 89.28 80.64 37.2 64.8 0 0 0 0 0 14.88 72 111.6 37.2 13.44 44.64 14.4 14.88 0 0 0 0 0 72 96.72 7.44 47.04 37.2 72 37.2 0 0 0 0 0 21.6 104.16 37.2 90.48 22.32 7.2 7.44 0 0 0 0 89.28 21.6 89.28 126.48 73.92 96.72 28.8 66.96 0 0 0 0 0 7.2 96.72 126.48 33.6 141.36 158.4 22.32 0 0 0 0 7.44 7.2 52.08 14.88 73.92 22.32 14.4 0 0 0 0 7.2 14.88 0 59.52 119.04 62.64 14.88 14.4 7.44 0 0 0 0 7.44 43.2 52.08 37.2 73.92 22.32 21.6 14.88 7.2 0 0 0 29.76 21.6 74.4 81.84 87.36 37.2 72 7.44 0 0 0 0 22.32 43.2 171.12 59.52 53.76 104.16 14.4 14.88 28.8 0 0 0 22.32 36 14.88 59.52 27.84 66.96 57.6 0 0 0 0 0 7.44 36 74.4 29.76 33.6 37.2 7.2 7.44 0 0 0 0 7.44 28.8 22.32 22.32 60.48 29.76 21.6 7.44 0 0 0 0 14.88 28.8 81.84 22.32 40.32 22.32 28.8 14.88 0 7.44 0 0 22.32 43.2 59.52 104.16 20.88 59.52 36 14.88 0 0 0 0 29.76 43.2 74.4 133.92 94.08 37.2 57.6 7.44 0 0 0 0 7.44 21.6 14.88 44.64 20.16 89.28 14.4 7.44 0 0 0 0 7.44 50.4 29.76
sub_17 111.6 181.44 111.6 72 59.52 43.2 0 0 14.4 7.44 36 22.32 104.16 40.32 22.32 43.2 0 7.2 0 0 0 0 21.6 0 104.16 160.08 37.2 43.2 14.88 14.4 0 0 7.2 66.96 7.2 0 81.84 80.64 29.76 64.8 0 0 0 0 0 7.44 64.8 104.16 37.2 13.44 44.64 14.4 14.88 0 0 0 0 0 64.8 81.84 7.44 47.04 37.2 72 37.2 0 0 0 0 0 21.6 89.28 37.2 83.52 22.32 7.2 0 0 0 0 0 81.84 21.6 74.4 111.6 67.2 89.28 28.8 66.96 0 0 0 0 0 7.2 81.84 126.48 26.88 133.92 158.4 14.88 0 0 0 0 7.44 7.2 44.64 14.88 73.92 22.32 14.4 0 0 0 0 7.2 14.88 0 66.96 111.6 62.64 14.88 14.4 14.88 0 0 0 0 7.44 43.2 52.08 37.2 67.2 22.32 21.6 14.88 7.2 0 0 0 29.76 21.6 66.96 89.28 87.36 29.76 57.6 7.44 0 0 0 0 22.32 36 186 59.52 53.76 96.72 14.4 14.88 21.6 0 0 0 14.88 36 14.88 59.52 20.88 59.52 64.8 0 0 0 0 0 7.44 28.8 66.96 29.76 33.6 37.2 7.2 7.44 0 0 0 0 7.44 21.6 14.88 22.32 60.48 29.76 21.6 7.44 0 0 0 0 7.44 21.6 74.4 22.32 40.32 14.88 28.8 7.44 0 7.44 0 0 29.76 36 59.52 96.72 20.88 59.52 28.8 7.44 0 0 0 0 22.32 36 74.4 126.48 94.08 29.76 57.6 7.44 0 0 0 0 7.44 21.6 14.88 44.64 20.16 89.28 14.4 7.44 0 0 0 0 7.44 50.4 29.76
sub_18 81.84 168 96.72 57.6 59.52 36 0 0 14.4 14.88 28.8 22.32 96.72 26.88 22.32 36 0 0 0 0 7.2 0 14.4 0 66.96 111.36 44.64 36 7.44 7.2 0 0 0 44.64 0 7.44 66.96 73.92 22.32 50.4 0 0 0 0 0 7.44 50.4 74.4 22.32 6.72 29.76 14.4 7.44 0 0 0 0 0 57.6 59.52 7.44 47.04 29.76 50.4 22.32 0 0 0 0 0 14.4 66.96 29.76 69.6 14.88 0 0 0 0 0 0 59.52 14.4 59.52 89.28 53.76 66.96 21.6 44.64 0 0 0 0 7.44 7.2 52.08 96.72 20.16 96.72 100.8 7.44 0 0 0 0 7.44 0 37.2 14.88 53.76 22.32 14.4 0 0 0 0 7.2 14.88 0 52.08 81.84 48.72 7.44 7.2 7.44 0 0 0 0 7.44 36 44.64 22.32 60.48 14.88 14.4 14.88 0 0 0 0 22.32 14.4 59.52 74.4 67.2 22.32 50.4 7.44 0 0 0 0 22.32 28.8 178.56 37.2 40.32 89.28 7.2 7.44 14.4 0 0 0 14.88 28.8 7.44 37.2 13.92 52.08 64.8 0 0 0 0 0 0 14.4 44.64 22.32 20.16 29.76 7.2 7.44 0 0 0 0 0 14.4 14.88 14.88 40.32 22.32 21.6 0 0 0 0 0 7.44 14.4 66.96 14.88 26.88 7.44 21.6 14.88 0 7.44 0 7.2 22.32 21.6 44.64 74.4 13.92 44.64 21.6 7.44 0 0 0 0 14.88 21.6 66.96 111.6 87.36 14.88 28.8 7.44 0 0 0 7.2 0 7.2 7.44 44.64 13.44 74.4 7.2 7.44 0 0 0 0 7.44 28.8 22.32
sub_19 44.64 174.72 74.4 28.8 66.96 14.4 0 0 7.2 7.44 21.6 22.32 81.84 6.72 29.76 21.6 0 0 0 0 7.2 0 7.2 7.44 29.76 55.68 29.76 21.6 0 0 0 0 0 14.88 0 0 59.52 73.92 29.76 21.6 0 0 0 0 0 7.44 28.8 29.76 14.88 0 7.44 21.6 0 0 0 0 0 0 28.8 44.64 0 40.32 14.88 28.8 14.88 0 0 0 0 0 14.4 37.2 14.88 48.72 0 0 0 0 0 0 0 44.64 7.2 52.08 74.4 40.32 37.2 21.6 29.76 0 0 0 0 14.88 7.2 22.32 52.08 6.72 52.08 57.6 7.44 0 0 0 0 14.88 0 14.88 7.44 26.88 7.44 7.2 0 0 0 0 0 7.44 0 22.32 59.52 20.88 0 0 7.44 0 0 0 0 0 28.8 22.32 7.44 53.76 7.44 7.2 7.44 0 0 0 0 14.88 0 59.52 59.52 47.04 0 36 7.44 0 0 0 0 22.32 7.2 141.36 14.88 20.16 74.4 0 7.44 7.2 0 0 0 14.88 21.6 0 14.88 0 37.2 43.2 0 0 0 0 0 0 0 29.76 7.44 6.72 7.44 0 0 0 0 0 0 0 7.2 0 0 20.16 7.44 7.2 0 0 0 0 0 14.88 0 52.08 7.44 6.72 0 0 7.44 0 7.44 0 0 7.44 14.4 14.88 52.08 0 22.32 14.4 7.44 0 0 0 0 14.88 14.4 44.64 89.28 73.92 0 7.2 0 0 0 0 7.2 0 0 0 29.76 0 74.4 0 0 0 0 0 0 0 14.4 14.88
sub_20 44.64 147.84 81.84 28.8 59.52 21.6 0 0 7.2 14.88 21.6 22.32 89.28 13.44 22.32 21.6 0 0 0 0 7.2 0 7.2 7.44 37.2 55.68 29.76 21.6 0 0 0 0 0 14.88 0 7.44 52.08 67.2 14.88 28.8 0 0 0 0 0 7.44 28.8 37.2 14.88 0 14.88 21.6 7.44 0 0 0 0 0 36 37.2 0 47.04 14.88 36 14.88 0 7.44 7.44 0 0 14.4 44.64 14.88 48.72 7.44 0 0 0 0 0 0 37.2 7.2 37.2 66.96 33.6 37.2 21.6 29.76 0 0 0 0 14.88 0 29.76 44.64 6.72 59.52 50.4 7.44 0 0 0 0 14.88 0 22.32 7.44 26.88 14.88 14.4 0 0 0 0 7.2 7.44 0 22.32 52.08 20.88 0 0 7.44 0 0 0 0 0 28.8 29.76 7.44 53.76 7.44 7.2 7.44 0 0 0 0 7.44 0 66.96 59.52 40.32 0 36 7.44 0 0 0 0 22.32 7.2 141.36 14.88 20.16 74.4 0 7.44 7.2 0 0 0 7.44 21.6 0 14.88 0 37.2 43.2 0 0 0 0 0 0 0 29.76 7.44 6.72 7.44 0 0 0 0 0 0 0 7.2 0 0 26.88 7.44 7.2 0 0 0 0 0 14.88 0 52.08 7.44 6.72 0 7.2 14.88 0 7.44 0 0 7.44 7.2 14.88 52.08 6.96 14.88 14.4 7.44 0 0 0 0 7.44 14.4 59.52 89.28 67.2 0 14.4 7.44 0 0 0 7.2 0 0 0 29.76 0 66.96 0 0 0 0 0 0 0 14.4 7.44
sub_21 52.08 194.88 81.84 36 59.52 14.4 0 0 14.4 7.44 28.8 29.76 89.28 13.44 29.76 28.8 0 0 0 0 7.2 0 14.4 14.88 37.2 69.6 37.2 28.8 0 0 0 0 0 14.88 7.2 7.44 66.96 80.64 29.76 28.8 0 0 0 0 0 7.44 36 37.2 14.88 6.72 14.88 14.4 7.44 0 0 0 0 0 50.4 52.08 0 60.48 22.32 36 14.88 0 7.44 7.44 0 0 14.4 44.64 14.88 69.6 7.44 0 0 0 0 0 0 52.08 7.2 66.96 111.6 67.2 37.2 28.8 29.76 0 0 0 7.2 22.32 7.2 29.76 52.08 13.44 59.52 50.4 7.44 0 0 0 0 7.44 0 29.76 14.88 33.6 7.44 14.4 0 0 0 0 7.2 7.44 0 22.32 66.96 27.84 7.44 7.2 7.44 0 0 0 0 0 36 37.2 14.88 53.76 14.88 7.2 7.44 0 0 0 0 7.44 7.2 52.08 66.96 47.04 7.44 36 7.44 0 0 0 0 29.76 7.2 156.24 22.32 26.88 74.4 7.2 7.44 0 0 0 0 14.88 28.8 7.44 22.32 6.96 44.64 43.2 0 0 0 0 0 0 7.2 29.76 14.88 13.44 14.88 0 0 0 0 0 0 0 14.4 7.44 7.44 33.6 14.88 7.2 0 0 0 0 0 14.88 7.2 59.52 22.32 13.44 7.44 7.2 7.44 0 7.44 0 7.2 7.44 14.4 22.32 59.52 6.96 22.32 21.6 7.44 0 0 0 0 7.44 14.4 66.96 89.28 73.92 7.44 7.2 0 0 0 0 7.2 0 7.2 7.44 37.2 6.72 74.4 7.2 0 0 0 0 0 0 14.4 22.32
